title,balance,category,price
Auditing Introduction to Principle and Practices,0,STO,1320
Nebret Eqa,0,CHE,1275
Intermediate Accounting Part1,0,COM,750
Advanced Accounting V.I,0,ENI,1185
Advanced Accounting V.II,3,MGT,975
Auditing and Assurance - 2E - Ainapure/Ainapure,80,ENI,585
Auditing: Principles & Practice -Kumar,0,MGT,2085
Essentials of Finincial Accounting,0,ENI,975
Financial Accounting A Managerial Perspective - 5ED - Narayanasw,17,COM,1185
Financial Services,0,MGT,1980
Financial Statement Analysis & Reporting,0,Transportation,1875
Fundamentals of Accounting for CPT - Rao,24,Statistics,2130
Fundamentals of Financial Management 2nd Chandra Bose,70,BIO,1710
International Financial Management 6/e Sharan,40,ENG,585
International Accounting - Rathore,4,COM,975
Principles & Practice of Cost Accounting,6,COM,1185
Advanced Accounting Vol.I &Vol.II,0,MGT,990
Accounting Principles 16th Fess Warren,0,COM,1350
Principles of Accounting - An Ethiopian Edition,106,LIT,675
Intermidiate Accounting 6th Edition,0,LAN,1215
Ethiopian Tax Accounting,0,MGT,1650
Auditing &Assurance - Theory and Practice,0,ENI,975
Basic Accounting,6,COM,450
Corporate Finance - Ahuja et al,2,ENI,750
"Financial Decision Making Concepts, Problems & Cases -4th Hampton",26,ENV,1050
"Management Accounting Text & Cases - 2E - Singhvi, Bodhanwala",56,ENI,1575
public Finance-Kennedy,0,ACC,1350
public Finance,0,ECO,885
Accounting 21st Century,0,COM,1425
Competency for basic Account works Level II,0,electrical engineering,1650
Cost Accounting Theory & practice ---Banerjee,17,COM,995
Cost Accounting Principles & Practice - Nigam/Jain,2,ECO,2085
Accounting Principles 20th Edition,0,ENI,975
Auditing Principles and Practice (Based on The Companies) - Kumar/Sharma,194,Statistics,1050
International Finincial Reporting Standards,0,MED,1875
Essentials of Finanacial Accounting Based on IFRS - 4th Bhattacharyya4th,0,COM,2085
Financial Accounting - 4E - Goyal/Goyal,4,PSY,630
Corporate Accounting -3rd Goyal/Goyal,5,ACC,1785
Taxation Law & Practice V.I Balachandran,0,COM,1275
Strategic Financial Management - 2E - Sofat/Hiro,21,ENG,585
Management Accounting - Singh,19,CHE,70
Financial Policy & Management Accounting -9th Banerjee,11,ACC,1680
Inventory Management -Bose,35,MAT,1875
Project Appraisal & Financing -Gupta,10,Ban,1485
AUDITING AND ASSURANCE THEORY AND PRACTICE - GOMEZ,17,ECO,1485
COST ACCOUNTING: PRINCIPLES AND PRACTICE NIGAM/JAIN,0,MGT,750
"Agricultural Development: Theory,Policy and Practice",0,ACC,1485
The Peasant And The State,0,Statistics,1350
Yewetet Lam Arebabna Yemeno Azegejajet,0,MAT,44
Yedoro Arebabina Yemeno Azegejajet,0,ENV,45
Handbook of Agriculture,0,COM,1785
Food & Beverage Service & Management,0,SOC,585
HAndbook of Animal Husbandary,0,MED,1950
Anatomy of Seed Plants,0,mis,745
Botany for Degree Students,0,MGT,535
Veterinary & Livestock Sector,0,MAT,975
Entrepreneurship in Livestock & Agriculture,0,ACC,1185
Elements of Ecology,0,CHE,2410
Fundamental of Toxcicology,0,Statistics,1250
Soil and Water Conservation for Sustainable Agriculture,1,Ban,1350
Agricultural Microbiology -2nd Rangaswami,5,ENI,755
Crop Diseases and Their Management - Chaube/Pundhir,30,COM,1650
Fundamentals Of Plant Pathology - Ravichandr,19,COM,2085
"Introduction to Plant Cell, Tissue & Organ Culture - Purohit",21,AGR,1185
Methods and Techniques in Plant Nematology-Ravichandar,39,Statistics,530
Plant Breeding Methods-Mahabal Ra,1,PHY,620
Pulse Crop Production; Principles & Technologies-Majumdar,19,MGT,2130
Textbook Of Agricultural Biotechnology-Nag A.,39,MGT,575
"Introduction to Animal Science: Global, Biological,Social & Industry Prospectives",0,ENI,1785
Cereals Proceeing & Nutritional Quality,0,MGT,1540
Biotechnology & Plant Breeding Perspctives,0,MGT,1705
Seed Technology,0,ENI,870
Droughts in Agricultural Production,0,ART,102
Plant Tissue Culture -Misra,0,COM,675
Genetics & Breeding of Vegetable Crops,0,ENI,1275
Improving Productivity of Drylands by Sustainable Resource Utilisaation & MAnagement,0,ENV,1125
Fundamentals of Plant Baceriology,0,Food,1485
Major Seed Spices-Production Technology,0,SUB,64
Post- Harvest Management & Processing Technology...,0,ECO,1050
The Complete Book on Cultivation & Manufacture of Tea,0,COM,1785
Dry Land Technology,0,REL,620
A Handbook of Fruit Production,0,SOC,68
Pest Management in Field Crops Principles & Practices,0,LAN,1185
Modern Plant Pathalogy,0,MGT,825
Basic Concepts of Fruit Science,0,SOC,490
Hybrid Seed Production of Agronomic Crops,0,ACC,1275
Key Notes on Agronomy,0,MGT,1480
Propagation of Horticultural Crops Principles & Practice,0,COM,975
